orderNo,customerID,firstName,lastName,gender,income,education,occupation,productCost,saleAmount,item,itemCategory,saleCountry,Profit,Region
SO65550,26694,Aaron,Hughes,M,80000,Partial College,Professional,1481.9379,2384.07,"Touring-1000 Blue, 46",Clothing,United States,902.1321,North America
SO65674,23170,Aaron,Jai,M,70000,Bachelors,Skilled Manual,343.6496,539.99,"Road-750 Black, 52",Components,United States,196.3404,North America
SO66073,17862,Aaron,Baker,M,40000,High School,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO66146,21151,Aaron,Campbell,M,60000,Graduate Degree,Professional,713.0798,1120.49,"Road-550-W Yellow, 40",Components,United States,407.4102,North America
SO67240,15568,Aaron,Hayes,M,80000,Partial College,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO70144,13154,Aaron,Lal,M,40000,High School,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO70925,27663,Aaron,Collins,M,170000,Graduate Degree,Management,1481.9379,2384.07,"Touring-1000 Blue, 46",Clothing,United States,902.1321,North America
SO72567,15566,Aaron,Foster,M,70000,Graduate Degree,Professional,1481.9379,2384.07,"Touring-1000 Yellow, 54",Clothing,Canada,902.1321,North America
SO73248,18804,Aaron,Gonzales,M,60000,Graduate Degree,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO43790,25857,Abigail,Perry,F,30000,Partial High School,Clerical,1912.1544,3399.99,"Mountain-100 Silver, 38",Bikes,United States,1487.8356,North America
SO44630,28765,Abigail,Gonzales,F,50000,Graduate Degree,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO44879,28833,Abigail,Harris,F,60000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO45923,11811,Abigail,Brooks,F,40000,Bachelors,Professional,2171.2942,3578.27,"Road-150 Red, 52",Components,United States,1406.9758,North America
SO46110,12169,Abigail,Howard,F,120000,High School,Professional,2171.2942,3578.27,"Road-150 Red, 44",Components,United States,1406.9758,North America
SO46133,12105,Abigail,Foster,F,70000,Partial College,Professional,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO46219,24332,Abigail,Thompson,F,60000,Graduate Degree,Professional,2171.2942,3578.27,"Road-150 Red, 52",Components,Canada,1406.9758,North America
SO46240,23868,Abigail,Coleman,F,60000,Graduate Degree,Professional,2171.2942,3578.27,"Road-150 Red, 56",Components,Canada,1406.9758,North America
SO46445,12772,Abigail,Clark,F,40000,Partial College,Clerical,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO46468,24431,Abigail,Morgan,F,60000,Partial High School,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 44",Components,Canada,1406.9758,North America
SO48406,15473,Abigail,Jenkins,F,50000,Bachelors,Skilled Manual,486.7066,782.99,"Road-650 Red, 44",Components,United States,296.2834,North America
SO48604,26609,Abigail,Kelly,F,70000,Partial College,Skilled Manual,1117.8559,2071.4196,"Mountain-200 Silver, 42",Bikes,United States,953.5637,North America
SO50497,14419,Abigail,Ward,F,70000,Partial College,Professional,605.6492,1000.4375,"Road-550-W Yellow, 48",Components,United States,394.7883,North America
SO50605,27450,Abigail,Ross,F,100000,Bachelors,Management,1117.8559,2071.4196,"Mountain-200 Silver, 42",Bikes,United States,953.5637,North America
SO50652,15903,Abigail,Barnes,F,60000,Partial College,Professional,486.7066,782.99,"Road-650 Red, 44",Components,United States,296.2834,North America
SO50916,27531,Abigail,Bailey,F,40000,Bachelors,Professional,1117.8559,2071.4196,"Mountain-200 Silver, 42",Bikes,United States,953.5637,North America
SO51194,11089,Abigail,Price,F,80000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO52362,22301,Abigail,Rodriguez,F,60000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO52521,19405,Abigail,Smith,F,60000,Partial College,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 44",Components,United States,407.4102,North America
SO53856,12105,Abigail,Foster,F,70000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO54022,16894,Abigail,Walker,F,60000,Graduate Degree,Management,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO54644,12169,Abigail,Howard,F,120000,High School,Professional,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO54652,22042,Abigail,Bryant,F,70000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO55596,19122,Abigail,Hughes,F,70000,Graduate Degree,Professional,308.2179,564.99,"Mountain-500 Silver, 48",Bikes,United States,256.7721,North America
SO56846,22888,Abigail,Long,F,60000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO57895,24431,Abigail,Morgan,F,60000,Partial High School,Skilled Manual,461.4448,742.35,"Touring-3000 Blue, 58",Clothing,Canada,280.9052,North America
SO59546,15903,Abigail,Barnes,F,60000,Partial College,Professional,294.5797,539.99,"Mountain-500 Black, 44",Bikes,United States,245.4103,North America
SO59571,17389,Abigail,Butler,F,50000,Bachelors,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO59808,14478,Abigail,Patterson,F,80000,Partial High School,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,Canada,1054.3705,North America
SO60361,11811,Abigail,Brooks,F,40000,Bachelors,Professional,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO62271,14419,Abigail,Ward,F,70000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO63811,17617,Abigail,Simmons,F,60000,Bachelors,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 44",Components,United States,618.48,North America
SO64234,24764,Abigail,Hughes,F,40000,Graduate Degree,Skilled Manual,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,United States,902.1321,North America
SO64655,12772,Abigail,Clark,F,40000,Partial College,Clerical,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO65736,14478,Abigail,Patterson,F,80000,Partial High School,Skilled Manual,1481.9379,2384.07,"Touring-1000 Yellow, 54",Clothing,Canada,902.1321,North America
SO66362,26609,Abigail,Kelly,F,70000,Partial College,Skilled Manual,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,United States,902.1321,North America
SO67634,23794,Abigail,Powell,F,30000,High School,Clerical,755.1508,1214.85,"Touring-2000 Blue, 50",Clothing,United States,459.6992,North America
SO68076,21484,Abigail,Coleman,F,60000,Partial College,Professional,713.0798,1120.49,"Road-550-W Yellow, 42",Components,United States,407.4102,North America
SO68256,27450,Abigail,Ross,F,100000,Bachelors,Management,1481.9379,2384.07,"Touring-1000 Blue, 46",Clothing,United States,902.1321,North America
SO68336,21478,Abigail,Reed,F,60000,Bachelors,Management,713.0798,1120.49,"Road-550-W Yellow, 40",Components,United States,407.4102,North America
SO68533,21275,Abigail,Cox,F,60000,Partial College,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 42",Components,United States,407.4102,North America
SO69011,23868,Abigail,Coleman,F,60000,Graduate Degree,Professional,755.1508,1214.85,"Touring-2000 Blue, 60",Clothing,Canada,459.6992,North America
SO69132,18379,Abigail,Robinson,F,80000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,Canada,1054.3705,North America
SO69712,23874,Abigail,Cook,F,50000,Bachelors,Skilled Manual,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO70291,18113,Abigail,Simmons,F,70000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO70430,17267,Abigail,Stewart,F,80000,Partial College,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO71077,11089,Abigail,Price,F,80000,Bachelors,Management,461.4448,742.35,"Touring-3000 Yellow, 62",Clothing,United States,280.9052,North America
SO72045,15473,Abigail,Jenkins,F,50000,Bachelors,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 42",Bikes,United States,349.7116,North America
SO72422,24332,Abigail,Thompson,F,60000,Graduate Degree,Professional,755.1508,1214.85,"Touring-2000 Blue, 50",Clothing,Canada,459.6992,North America
SO73233,18376,Abigail,Diaz,F,70000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO73571,24329,Abigail,Cooper,F,70000,Bachelors,Professional,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO74008,21386,Abigail,Wood,F,30000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 52",Components,United States,196.3404,North America
SO45012,14650,Adam,Perry,M,60000,Partial College,Skilled Manual,413.1463,699.0982,"Road-650 Black, 52",Components,United States,285.9519,North America
SO45101,22748,Adam,Phillips,M,70000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 52",Components,Canada,1406.9758,North America
SO45848,14852,Adam,Gonzalez,M,60000,Partial College,Skilled Manual,413.1463,699.0982,"Road-650 Black, 48",Components,United States,285.9519,North America
SO46812,13069,Adam,Green,M,30000,High School,Skilled Manual,1320.6838,2181.5625,"Road-250 Red, 58",Components,United States,860.8787,North America
SO47095,25095,Adam,Jai,M,50000,Partial College,Skilled Manual,1518.7864,2443.35,"Road-250 Red, 52",Components,Canada,924.5636,North America
SO47285,29135,Adam,Allen,M,60000,Bachelors,Skilled Manual,1320.6838,2181.5625,"Road-250 Black, 44",Components,Canada,860.8787,North America
SO48468,15433,Adam,Sharma,M,60000,Partial College,Skilled Manual,486.7066,782.99,"Road-650 Black, 62",Components,United States,296.2834,North America
SO49391,13877,Adam,Lal,M,60000,Bachelors,Skilled Manual,1320.6838,2181.5625,"Road-250 Black, 58",Components,United States,860.8787,North America
SO49713,21400,Adam,Campbell,M,60000,Partial College,Skilled Manual,1117.8559,2071.4196,"Mountain-200 Silver, 42",Bikes,Canada,953.5637,North America
SO51466,16804,Adam,Zhang,M,60000,High School,Professional,1082.51,1700.99,"Road-350-W Yellow, 48",Components,United States,618.48,North America
SO51566,24414,Adam,Edwards,M,130000,Bachelors,Management,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,United States,902.1321,North America
SO51584,22274,Adam,Chen,M,40000,Bachelors,Professional,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO53437,13877,Adam,Lal,M,60000,Bachelors,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 46",Bikes,United States,349.7116,North America
SO55789,13069,Adam,Green,M,30000,High School,Skilled Manual,294.5797,539.99,"Mountain-500 Black, 42",Bikes,United States,245.4103,North America
SO58282,21400,Adam,Campbell,M,60000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 58",Components,Canada,196.3404,North America
SO58678,17040,Adam,Henderson,M,60000,Bachelors,Professional,1082.51,1700.99,"Road-350-W Yellow, 40",Components,United States,618.48,North America
SO59320,19696,Adam,Patterson,M,120000,Partial College,Professional,308.2179,564.99,"Mountain-500 Silver, 42",Bikes,United States,256.7721,North America
SO64652,14650,Adam,Perry,M,60000,Partial College,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 42",Bikes,United States,349.7116,North America
SO66243,14852,Adam,Gonzalez,M,60000,Partial College,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 40",Bikes,United States,349.7116,North America
SO67760,18228,Adam,Parker,M,60000,Partial College,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 44",Components,United States,618.48,North America
SO69128,16109,Adam,Turner,M,60000,Bachelors,Skilled Manual,294.5797,539.99,"Mountain-500 Black, 44",Bikes,Canada,245.4103,North America
SO70638,13397,Adam,Mitchell,M,60000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO71463,17427,Adam,Russell,M,120000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO71987,18868,Adam,Long,M,40000,Partial College,Professional,1082.51,1700.99,"Road-350-W Yellow, 44",Components,United States,618.48,North America
SO72096,15433,Adam,Sharma,M,60000,Partial College,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 38",Bikes,United States,349.7116,North America
SO73318,24326,Adam,Bryant,M,60000,Bachelors,Skilled Manual,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO74069,22748,Adam,Phillips,M,70000,Bachelors,Management,308.2179,564.99,"Mountain-500 Silver, 42",Bikes,Canada,256.7721,North America
SO46123,12152,Adrian,Ramirez,M,130000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO46504,15005,Adrian,Cooper,M,60000,Partial College,Skilled Manual,413.1463,699.0982,"Road-650 Black, 52",Components,United States,285.9519,North America
SO50890,13984,Adrian,Richardson,M,60000,Partial College,Skilled Manual,1518.7864,2443.35,"Road-250 Red, 44",Components,United States,924.5636,North America
SO52403,19534,Adrian,Torres,M,60000,Graduate Degree,Professional,713.0798,1120.49,"Road-550-W Yellow, 42",Components,United States,407.4102,North America
SO54024,12152,Adrian,Ramirez,M,130000,Bachelors,Management,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO54132,13984,Adrian,Richardson,M,60000,Partial College,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 40",Bikes,United States,349.7116,North America
SO54708,25339,Adrian,Rivera,M,40000,Partial College,Clerical,755.1508,1214.85,"Touring-2000 Blue, 60",Clothing,United States,459.6992,North America
SO68245,15005,Adrian,Cooper,M,60000,Partial College,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 46",Bikes,United States,349.7116,North America
SO68248,16478,Adrian,Gray,M,70000,Partial College,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,United States,1043.0087,North America
SO70739,21812,Adrian,Bailey,M,60000,High School,Professional,713.0798,1120.49,"Road-550-W Yellow, 48",Components,United States,407.4102,North America
SO64171,17596,Adrienne,Vazquez,F,60000,Bachelors,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO65388,23392,Adrienne,Dominguez,F,60000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO44259,28171,Aidan,Henderson,M,60000,Partial College,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO45670,11541,Aidan,Ross,M,60000,Graduate Degree,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO45698,14747,Aidan,Wood,M,40000,Partial College,Clerical,413.1463,699.0982,"Road-650 Red, 44",Components,United States,285.9519,North America
SO45995,23846,Aidan,Diaz,M,60000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,Canada,1406.9758,North America
SO46180,12084,Aidan,Perry,M,60000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO47818,15364,Aidan,Bryant,M,90000,Partial College,Professional,486.7066,782.99,"Road-650 Red, 62",Components,United States,296.2834,North America
SO47947,14109,Aidan,Gonzales,M,30000,Partial College,Skilled Manual,605.6492,1000.4375,"Road-550-W Yellow, 44",Components,United States,394.7883,North America
SO50644,27275,Aidan,Powell,M,60000,Graduate Degree,Professional,1105.81,2049.0982,"Mountain-200 Black, 46",Bikes,United States,943.2882,North America
SO52264,16886,Aidan,Flores,M,60000,Partial High School,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 40",Components,United States,618.48,North America
SO54521,21654,Aidan,Barnes,M,70000,Bachelors,Professional,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO56176,11541,Aidan,Ross,M,60000,Graduate Degree,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO62445,12084,Aidan,Perry,M,60000,Bachelors,Management,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO63728,15364,Aidan,Bryant,M,90000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO64290,14109,Aidan,Gonzales,M,30000,Partial College,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 48",Components,United States,618.48,North America
SO67195,23846,Aidan,Diaz,M,60000,Bachelors,Skilled Manual,755.1508,1214.85,"Touring-2000 Blue, 60",Clothing,Canada,459.6992,North America
SO67236,14747,Aidan,Wood,M,40000,Partial College,Clerical,419.7784,769.49,"Mountain-400-W Silver, 40",Bikes,United States,349.7116,North America
SO69855,20077,Aidan,Coleman,M,10000,High School,Manual,343.6496,539.99,"Road-750 Black, 52",Components,United States,196.3404,North America
SO72505,18998,Aidan,Bennett,M,60000,Bachelors,Management,1082.51,1700.99,"Road-350-W Yellow, 48",Components,United States,618.48,North America
SO44434,28580,Aimee,Liu,F,80000,Graduate Degree,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO45929,11825,Aimee,She,F,70000,Graduate Degree,Professional,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO52658,11825,Aimee,She,F,70000,Graduate Degree,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO59820,28580,Aimee,Liu,F,80000,Graduate Degree,Skilled Manual,755.1508,1214.85,"Touring-2000 Blue, 46",Clothing,United States,459.6992,North America
SO66554,23160,Aimee,Huang,F,70000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO66148,20782,Alan,Ye,M,60000,Graduate Degree,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 40",Components,United States,407.4102,North America
SO56174,13328,Albert,Serrano,M,80000,Graduate Degree,Management,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,Canada,1043.0087,North America
SO61723,13328,Albert,Serrano,M,80000,Graduate Degree,Management,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,Canada,902.1321,North America
SO64373,17576,Albert,Vazquez,M,50000,Bachelors,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO45679,11540,Alberto,Navarro,M,60000,Graduate Degree,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO54801,11540,Alberto,Navarro,M,60000,Graduate Degree,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,United States,1043.0087,North America
SO64370,23358,Alberto,Alvarez,M,60000,High School,Professional,343.6496,539.99,"Road-750 Black, 52",Components,United States,196.3404,North America
SO50649,13938,Alejandro,Cai,M,60000,Graduate Degree,Professional,1320.6838,2181.5625,"Road-250 Red, 58",Components,United States,860.8787,North America
SO54572,13938,Alejandro,Cai,M,60000,Graduate Degree,Professional,419.7784,769.49,"Mountain-400-W Silver, 40",Bikes,United States,349.7116,North America
SO54813,21940,Alejandro,Sharma,M,90000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO44693,28676,Alex,Bailey,M,60000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 44",Components,United States,1406.9758,North America
SO45254,29252,Alex,Parker,M,130000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO46163,12042,Alex,Carter,M,40000,High School,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO48905,26814,Alex,Hernandez,M,60000,Graduate Degree,Professional,1105.81,2049.0982,"Mountain-200 Black, 46",Bikes,United States,943.2882,North America
SO50331,15915,Alex,Cox,M,70000,Partial College,Professional,486.7066,782.99,"Road-650 Red, 48",Components,United States,296.2834,North America
SO50496,14452,Alex,Gonzalez,M,70000,Partial College,Professional,605.6492,1000.4375,"Road-550-W Yellow, 38",Components,United States,394.7883,North America
SO52272,24522,Alex,Perez,M,80000,Bachelors,Management,1481.9379,2384.07,"Touring-1000 Yellow, 60",Clothing,United States,902.1321,North America
SO52829,11984,Alex,Campbell,M,80000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,Canada,1043.0087,North America
SO52836,19535,Alex,Mitchell,M,60000,Graduate Degree,Professional,713.0798,1120.49,"Road-550-W Yellow, 48",Components,United States,407.4102,North America
SO54581,16754,Alex,Bell,M,80000,Bachelors,Management,461.4448,742.35,"Touring-3000 Yellow, 50",Clothing,Canada,280.9052,North America
SO55600,13101,Alex,Sanchez,M,90000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,Canada,1043.0087,North America
SO57587,11984,Alex,Campbell,M,80000,Bachelors,Management,1481.9379,2384.07,"Touring-1000 Blue, 50",Clothing,Canada,902.1321,North America
SO61771,14452,Alex,Gonzalez,M,70000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO62005,12042,Alex,Carter,M,40000,High School,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO62386,13101,Alex,Sanchez,M,90000,Partial College,Professional,1481.9379,2384.07,"Touring-1000 Yellow, 46",Clothing,Canada,902.1321,North America
SO63474,16754,Alex,Bell,M,80000,Bachelors,Management,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,Canada,1054.3705,North America
SO64444,20755,Alex,Lopez,M,40000,Partial College,Clerical,713.0798,1120.49,"Road-550-W Yellow, 42",Components,United States,407.4102,North America
SO64514,23033,Alex,Turner,M,130000,Bachelors,Management,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO64944,21139,Alex,Adams,M,70000,Partial College,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO65792,23450,Alex,Rogers,M,60000,High School,Professional,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO66241,16066,Alex,Ramirez,M,50000,Bachelors,Skilled Manual,294.5797,539.99,"Mountain-500 Black, 48",Bikes,United States,245.4103,North America
SO67192,29252,Alex,Parker,M,130000,Bachelors,Management,461.4448,742.35,"Touring-3000 Yellow, 54",Clothing,United States,280.9052,North America
SO67239,15915,Alex,Cox,M,70000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO67834,18553,Alex,Roberts,M,50000,Bachelors,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO72482,18512,Alex,Torres,M,70000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,United States,1043.0087,North America
SO72547,18519,Alex,Cook,M,100000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO74083,22238,Alex,Murphy,M,40000,Bachelors,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 48",Components,United States,407.4102,North America
SO43803,21741,Alexa,Sanders,F,70000,Partial College,Professional,2171.2942,3578.27,"Road-150 Red, 56",Components,Canada,1406.9758,North America
SO44394,28246,Alexa,Gray,F,80000,Partial College,Professional,2171.2942,3578.27,"Road-150 Red, 52",Components,United States,1406.9758,North America
SO45424,28165,Alexa,Rivera,F,40000,High School,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 44",Components,Canada,1406.9758,North America
SO49572,27107,Alexa,Stewart,F,70000,Graduate Degree,Professional,1117.8559,2071.4196,"Mountain-200 Silver, 38",Bikes,United States,953.5637,North America
SO49600,14381,Alexa,Cooper,F,70000,Bachelors,Management,605.6492,1000.4375,"Road-550-W Yellow, 38",Components,United States,394.7883,North America
SO51241,21600,Alexa,Bell,F,70000,Bachelors,Skilled Manual,343.6496,539.99,"Road-750 Black, 52",Components,United States,196.3404,North America
